                 FLIGHT AIRCRAFT ID: A310
               FLIGHT AIRCRAFT NAME: A-310               
                        ENGINE NAME: HIGH TB CF6-80C2A2  
                  NUMBER OF ENGINES: 2
 MEASURED FLIGHT NOISE DATA UPDATED: 14 JAN 1988
        SOURCE OF FLIGHT NOISE DATA: FAA         
 NUMBER OF POWER SETTINGS REQUESTED:  2

PROFILE ID   INTERPOLATION TYPE    POWER SETTING    SPEED (KNOTS)   POWER DESCRIPTION

FC0340100         VARIABLE        5108.90 LBS            160        LANDING             

 Distance    SEL (dB)      EPNL (EPNdB)      ALM (dBA)     PNLT (PNdB)
   (ft)     A-G    G-G      A-G    G-G      A-G    G-G      A-G    G-G
    200     99.6   99.6    106.3  106.3     96.9   96.9    115.0  115.0
    250     97.9   97.9    104.5  104.5     94.6   94.6    112.6  112.6
    315     96.1   95.4    102.7  101.5     92.2   91.5    110.2  109.0
    400     94.3   92.8    100.7   98.1     89.7   88.2    107.6  105.0
    500     92.3   90.3     98.5   95.5     87.2   85.1    104.8  101.8
    630     90.3   87.6     96.2   92.8     84.6   81.9    101.9   98.5
    800     88.2   84.9     93.7   89.9     81.8   78.6     98.8   95.0
   1000     85.9   82.0     91.0   86.8     79.0   75.1     95.5   91.3
   1250     83.6   79.0     88.0   83.5     76.1   71.4     91.9   87.3
   1600     81.3   76.2     84.9   79.9     73.1   68.0     88.2   83.2
   2000     78.9   73.4     82.0   76.8     70.1   64.6     84.7   79.5
   2500     76.5   70.6     78.7   73.4     67.2   61.3     80.8   75.5
   3150     74.1   68.1     75.6   69.9     64.1   58.1     77.1   71.4
   4000     71.6   65.7     72.3   66.0     61.1   55.1     73.2   66.9
   5000     69.1   63.0     68.9   60.9     58.0   51.8     69.2   61.2
   6300     66.5   60.2     65.4   56.9     54.7   48.5     65.0   56.5
   8000     63.6   57.2     61.6   53.1     51.3   44.8     60.6   52.1
  10000     60.7   53.8     57.6   48.5     47.7   40.8     56.0   46.9
  12500     57.5   49.5     53.9   42.9     44.0   36.0     51.7   40.6
  16000     54.1   44.7     49.8   34.1     40.0   30.6     47.0   31.2
  20000     50.6   39.7     45.2   25.1     35.8   25.0     41.7   21.7
  25000     46.8   34.7     39.6   11.8     31.5   19.4     35.6    7.8

FC0340101         VARIABLE       12081.91 LBS            160        LANDING             

 Distance    SEL (dB)      EPNL (EPNdB)      ALM (dBA)     PNLT (PNdB)
   (ft)     A-G    G-G      A-G    G-G      A-G    G-G      A-G    G-G
    200    101.5  101.5    107.9  107.9     99.1   99.1    116.3  116.3
    250     99.8   99.8    106.2  106.1     96.8   96.8    114.0  113.9
    315     98.1   97.4    104.3  103.3     94.4   93.7    111.5  110.5
    400     96.3   94.8    102.4  100.1     92.0   90.5    109.0  106.6
    500     94.4   92.3    100.3   97.5     89.5   87.4    106.3  103.5
    630     92.4   89.7     98.1   94.8     86.9   84.2    103.5  100.2
    800     90.3   87.0     95.7   91.9     84.3   80.9    100.5   96.7
   1000     88.2   84.1     93.1   88.9     81.5   77.5     97.3   93.0
   1250     85.9   81.2     90.3   85.6     78.7   73.9     93.9   89.1
   1600     83.6   78.5     87.3   82.2     75.8   70.6     90.3   85.2
   2000     81.3   75.7     84.4   79.2     72.8   67.3     86.8   81.5
   2500     78.9   73.1     81.3   75.9     69.9   64.0     83.1   77.7
   3150     76.6   70.6     78.4   72.5     66.9   60.9     79.5   73.7
   4000     74.1   68.2     75.3   68.8     63.9   57.9     75.8   69.4
   5000     71.6   65.5     72.0   64.1     60.7   54.6     71.9   64.0
   6300     69.0   62.7     68.6   60.2     57.5   51.2     67.9   59.5
   8000     66.2   59.6     65.0   56.4     54.1   47.5     63.7   55.1
  10000     63.2   56.1     61.2   51.9     50.6   43.4     59.3   49.9
  12500     60.1   51.8     57.6   46.4     46.8   38.5     55.1   43.9
  16000     56.8   47.0     53.6   38.4     42.9   33.2     50.5   35.2
  20000     53.3   42.1     49.1   29.9     38.8   27.6     45.4   26.2
  25000     49.5   37.2     43.8   18.0     34.5   22.1     39.5   13.7
