                 FLIGHT AIRCRAFT ID: B733
               FLIGHT AIRCRAFT NAME: B-737-300 B2        
                        ENGINE NAME: CFM56-3B-2          
                  NUMBER OF ENGINES: 2
 MEASURED FLIGHT NOISE DATA UPDATED: 14 JAN 1988
        SOURCE OF FLIGHT NOISE DATA: FAA         
 NUMBER OF POWER SETTINGS REQUESTED:  2

PROFILE ID   INTERPOLATION TYPE    POWER SETTING    SPEED (KNOTS)   POWER DESCRIPTION

FC0360100         VARIABLE        5108.90 LBS            160        LANDING             

 Distance    SEL (dB)      EPNL (EPNdB)      ALM (dBA)     PNLT (PNdB)
   (ft)     A-G    G-G      A-G    G-G      A-G    G-G      A-G    G-G
    200     99.4   99.4    103.9  104.2     96.6   96.6    110.2  110.4
    250     97.9   97.9    102.2  102.5     94.4   94.4    107.9  108.1
    315     96.3   94.8    100.4   99.6     92.2   90.8    105.5  104.6
    400     94.6   91.8     98.5   96.8     90.0   87.2    103.0  101.2
    500     93.0   89.3     96.6   94.2     87.7   84.0    100.4   98.1
    630     91.2   86.8     94.5   91.5     85.4   81.0     97.7   94.7
    800     89.5   84.5     92.3   88.6     83.0   78.0     95.0   91.3
   1000     87.6   82.1     90.2   85.7     80.6   75.1     92.3   87.7
   1250     85.7   79.8     88.1   82.6     78.1   72.2     89.5   84.0
   1600     83.8   77.7     85.8   79.9     75.6   69.5     86.6   80.7
   2000     81.8   75.6     83.4   77.2     72.9   66.8     83.7   77.4
   2500     79.6   73.5     81.0   74.5     70.2   64.1     80.6   74.2
   3150     77.4   71.4     78.4   71.9     67.3   61.4     77.4   71.0
   4000     75.0   69.3     75.5   69.0     64.3   58.7     73.9   67.5
   5000     72.4   66.9     72.4   65.8     61.1   55.6     70.3   63.7
   6300     69.6   64.3     69.1   62.5     57.8   52.5     66.4   59.8
   8000     66.6   61.3     65.6   58.8     54.1   48.9     62.3   55.5
  10000     63.3   58.0     61.8   54.6     50.3   44.9     58.0   50.7
  12500     59.8   53.6     58.1   49.2     46.2   39.9     53.6   44.7
  16000     56.1   48.6     53.6   41.8     41.8   34.3     48.5   36.7
  20000     52.1   43.2     48.7   34.0     37.3   28.3     43.1   28.3
  25000     48.0   37.6     42.8   20.7     32.6   22.2     36.6   14.4

FC0360101         VARIABLE       12081.90 LBS            160        TAKEOFF             

 Distance    SEL (dB)      EPNL (EPNdB)      ALM (dBA)     PNLT (PNdB)
   (ft)     A-G    G-G      A-G    G-G      A-G    G-G      A-G    G-G
    200    103.1  103.1    107.4  107.1     99.9   99.9    113.1  112.8
    250    101.6  101.6    105.7  105.4     97.8   97.8    110.8  110.5
    315    100.0   98.5    103.9  102.5     95.6   94.1    108.4  107.0
    400     98.4   95.3    102.0   99.7     93.4   90.3    105.9  103.6
    500     96.8   92.8    100.2   97.2     91.2   87.3    103.4  100.4
    630     95.1   90.4     98.2   94.5     88.9   84.3    100.9   97.1
    800     93.4   88.1     96.2   91.7     86.6   81.3     98.3   93.8
   1000     91.6   85.9     94.2   88.9     84.2   78.5     95.7   90.4
   1250     89.7   83.7     92.1   86.2     81.7   75.7     93.0   87.0
   1600     87.8   81.6     89.9   83.5     79.2   73.0     90.2   83.8
   2000     85.8   79.5     87.6   80.9     76.6   70.3     87.3   80.6
   2500     83.7   77.5     85.2   78.2     73.9   67.7     84.3   77.3
   3150     81.5   75.4     82.7   75.5     71.1   65.0     81.2   74.0
   4000     79.1   73.3     79.9   72.6     68.1   62.3     77.8   70.6
   5000     76.5   70.8     76.9   69.5     64.9   59.2     74.3   67.0
   6300     73.8   68.2     73.7   66.3     61.6   56.1     70.7   63.3
   8000     70.8   65.3     70.3   62.8     58.0   52.5     66.8   59.3
  10000     67.6   61.9     66.7   58.9     54.2   48.5     62.7   54.9
  12500     64.2   57.6     63.0   54.0     50.2   43.6     58.4   49.4
  16000     60.5   52.7     58.9   47.6     46.0   38.1     53.7   42.4
  20000     56.7   47.5     54.4   40.6     41.5   32.3     48.5   34.8
  25000     52.7   42.2     48.8   30.7     36.9   26.4     42.4   24.3
