                 FLIGHT AIRCRAFT ID: B735
               FLIGHT AIRCRAFT NAME: B-737-500*          
                        ENGINE NAME: CFM56-3B-1          
                  NUMBER OF ENGINES: 2
 MEASURED FLIGHT NOISE DATA UPDATED: 14 JAN 1988
        SOURCE OF FLIGHT NOISE DATA: FAA         
 NUMBER OF POWER SETTINGS REQUESTED:  2

PROFILE ID   INTERPOLATION TYPE    POWER SETTING    SPEED (KNOTS)   POWER DESCRIPTION

FC0860100         VARIABLE        5108.90 LBS            160        APPROACH POWER      

 Distance    SEL (dB)      EPNL (EPNdB)      ALM (dBA)     PNLT (PNdB)
   (ft)     A-G    G-G      A-G    G-G      A-G    G-G      A-G    G-G
    200     96.5   94.2    101.6   99.3     -1.0   -1.0     -1.0   -1.0
    250     95.4   92.5    100.4   97.5     -1.0   -1.0     -1.0   -1.0
    315     94.0   90.5     98.8   95.3     -1.0   -1.0     -1.0   -1.0
    400     92.1   87.9     96.8   92.6     -1.0   -1.0     -1.0   -1.0
    500     90.8   85.6     95.3   90.1     -1.0   -1.0     -1.0   -1.0
    630     89.0   82.8     93.3   87.1     -1.0   -1.0     -1.0   -1.0
    800     87.5   80.2     91.4   84.1     -1.0   -1.0     -1.0   -1.0
   1000     85.6   77.1     89.1   80.5     -1.0   -1.0     -1.0   -1.0
   1250     84.2   74.4     87.2   77.4     -1.0   -1.0     -1.0   -1.0
   1600     82.5   71.4     84.8   73.8     -1.0   -1.0     -1.0   -1.0
   2000     80.3   68.1     81.8   69.6     -1.0   -1.0     -1.0   -1.0
   2500     78.7   65.4     79.8   66.6     -1.0   -1.0     -1.0   -1.0
   3150     76.6   62.7     77.2   63.4     -1.0   -1.0     -1.0   -1.0
   4000     73.9   60.0     73.9   60.1     -1.0   -1.0     -1.0   -1.0
   5000     71.7   57.8     71.2   57.4     -1.0   -1.0     -1.0   -1.0
   6300     68.9   55.0     67.8   53.9     -1.0   -1.0     -1.0   -1.0
   8000     66.2   52.4     64.7   50.8     -1.0   -1.0     -1.0   -1.0
  10000     63.0   49.1     60.8   46.9     -1.0   -1.0     -1.0   -1.0
  12500     60.0   46.2     57.4   43.5     -1.0   -1.0     -1.0   -1.0
  16000     56.1   42.3     52.9   39.0     -1.0   -1.0     -1.0   -1.0
  20000     53.0   39.1     49.2   35.4     -1.0   -1.0     -1.0   -1.0
  25000     49.0   35.1     44.5   30.7     -1.0   -1.0     -1.0   -1.0

FC0860101         VARIABLE       12081.90 LBS            160        INTERMEDIATE POWER  

 Distance    SEL (dB)      EPNL (EPNdB)      ALM (dBA)     PNLT (PNdB)
   (ft)     A-G    G-G      A-G    G-G      A-G    G-G      A-G    G-G
    200     99.1   96.7    103.4  101.1     -1.0   -1.0     -1.0   -1.0
    250     98.1   95.2    102.3   99.5     -1.0   -1.0     -1.0   -1.0
    315     96.8   93.3    100.9   97.4     -1.0   -1.0     -1.0   -1.0
    400     95.1   90.9     99.1   94.8     -1.0   -1.0     -1.0   -1.0
    500     93.9   88.7     97.7   92.5     -1.0   -1.0     -1.0   -1.0
    630     92.3   86.1     95.9   89.7     -1.0   -1.0     -1.0   -1.0
    800     91.0   83.7     94.2   86.9     -1.0   -1.0     -1.0   -1.0
   1000     89.3   80.8     92.1   83.6     -1.0   -1.0     -1.0   -1.0
   1250     88.1   78.3     90.6   80.8     -1.0   -1.0     -1.0   -1.0
   1600     86.5   75.4     88.7   77.6     -1.0   -1.0     -1.0   -1.0
   2000     84.5   72.3     86.2   74.0     -1.0   -1.0     -1.0   -1.0
   2500     83.0   69.8     84.5   71.2     -1.0   -1.0     -1.0   -1.0
   3150     81.1   67.2     82.2   68.4     -1.0   -1.0     -1.0   -1.0
   4000     78.7   64.8     79.4   65.5     -1.0   -1.0     -1.0   -1.0
   5000     76.6   62.8     76.9   63.1     -1.0   -1.0     -1.0   -1.0
   6300     74.0   60.2     73.9   60.0     -1.0   -1.0     -1.0   -1.0
   8000     71.6   57.7     71.0   57.2     -1.0   -1.0     -1.0   -1.0
  10000     68.5   54.6     67.5   53.7     -1.0   -1.0     -1.0   -1.0
  12500     65.7   51.9     64.4   50.5     -1.0   -1.0     -1.0   -1.0
  16000     62.1   48.2     60.2   46.4     -1.0   -1.0     -1.0   -1.0
  20000     59.0   45.2     56.9   43.0     -1.0   -1.0     -1.0   -1.0
  25000     55.2   41.3     52.6   38.7     -1.0   -1.0     -1.0   -1.0
