                 FLIGHT AIRCRAFT ID: B741
               FLIGHT AIRCRAFT NAME: B-747-100 (Q)       
                        ENGINE NAME: JT9D(BLOW DOOR)     
                  NUMBER OF ENGINES: 4
 MEASURED FLIGHT NOISE DATA UPDATED: 14 JAN 1988
        SOURCE OF FLIGHT NOISE DATA: FAA         
 NUMBER OF POWER SETTINGS REQUESTED:  2

PROFILE ID   INTERPOLATION TYPE    POWER SETTING    SPEED (KNOTS)   POWER DESCRIPTION

FC0010100         VARIABLE        5108.90 LBS            160        LANDING             

 Distance    SEL (dB)      EPNL (EPNdB)      ALM (dBA)     PNLT (PNdB)
   (ft)     A-G    G-G      A-G    G-G      A-G    G-G      A-G    G-G
    200    106.4  106.4    111.6  111.4     99.3   99.3    114.1  113.9
    250    104.8  104.8    109.9  109.7     97.1   97.1    111.8  111.5
    315    103.1  102.9    108.1  107.5     94.8   94.6    109.4  108.8
    400    101.4  101.0    106.2  105.2     92.5   92.1    106.9  105.9
    500     99.6   98.6    104.3  102.6     90.1   89.1    104.4  102.7
    630     97.7   96.0    102.4   99.9     87.6   85.9    101.9   99.4
    800     95.7   93.2    100.3   97.0     85.0   82.5     99.2   95.8
   1000     93.6   90.5     98.1   93.9     82.3   79.2     96.4   92.2
   1250     91.4   87.8     95.8   91.1     79.5   75.9     93.4   88.8
   1600     89.0   85.4     93.2   88.4     76.5   72.9     90.3   85.5
   2000     86.5   82.9     90.6   85.7     73.4   69.8     87.0   82.2
   2500     83.8   80.3     87.6   82.8     70.1   66.6     83.5   78.7
   3150     80.9   77.7     84.5   79.9     66.6   63.4     79.7   75.2
   4000     77.8   75.1     80.6   76.6     62.9   60.2     75.3   71.3
   5000     74.5   72.2     76.5   72.9     59.0   56.7     70.6   67.0
   6300     71.1   68.9     71.9   68.9     55.0   52.8     65.5   62.4
   8000     67.7   65.0     67.2   64.4     51.0   48.3     60.1   57.3
  10000     64.2   60.5     63.1   58.7     46.9   43.2     55.4   51.1
  12500     60.7   54.8     58.7   50.3     42.8   36.9     50.5   42.0
  16000     57.2   48.8     53.8   41.2     38.7   30.3     44.9   32.3
  20000     53.6   43.1     48.5   31.0     34.5   24.0     39.0   21.5
  25000     49.8   37.8     43.0   11.4     30.1   18.1     32.9    1.3

FC0010101         VARIABLE       12081.90 LBS            160        CRUISE              

 Distance    SEL (dB)      EPNL (EPNdB)      ALM (dBA)     PNLT (PNdB)
   (ft)     A-G    G-G      A-G    G-G      A-G    G-G      A-G    G-G
    200    112.2  112.2    118.5  118.3    105.1  105.1    119.9  119.7
    250    110.6  110.6    116.8  116.6    102.9  102.9    117.6  117.4
    315    108.9  108.8    115.0  114.4    100.6  100.5    115.2  114.6
    400    107.2  106.8    113.2  112.1     98.3   97.9    112.8  111.7
    500    105.4  104.4    111.3  109.6     95.9   94.9    110.3  108.6
    630    103.5  101.8    109.3  106.8     93.4   91.7    107.7  105.2
    800    101.5   99.0    107.3  103.9     90.8   88.3    105.1  101.7
   1000     99.4   96.3    105.1  100.9     88.1   85.0    102.3   98.1
   1250     97.2   93.6    102.8   98.1     85.3   81.7     99.4   94.7
   1600     94.8   91.2    100.2   95.4     82.3   78.7     96.2   91.4
   2000     92.3   88.7     97.6   92.7     79.2   75.6     93.0   88.1
   2500     89.6   86.1     94.6   89.9     75.9   72.4     89.5   84.7
   3150     86.7   83.5     91.5   86.9     72.4   69.2     85.7   81.2
   4000     83.6   80.9     87.7   83.7     68.7   66.1     81.3   77.3
   5000     80.3   78.0     83.6   80.1     64.9   62.5     76.6   73.1
   6300     76.9   74.7     79.1   76.2     60.8   58.6     71.5   68.6
   8000     73.5   70.8     74.4   71.7     56.8   54.2     66.2   63.5
  10000     70.0   66.3     70.4   66.2     52.7   49.0     61.6   57.5
  12500     66.5   60.6     66.3   58.9     48.6   42.7     57.0   49.6
  16000     63.0   54.6     62.0   50.7     44.5   36.2     52.1   40.7
  20000     59.4   48.9     57.0   42.1     40.3   29.8     46.4   31.5
  25000     55.6   43.6     51.6   29.8     35.9   23.9     40.4   18.6
