                 FLIGHT AIRCRAFT ID: B742
               FLIGHT AIRCRAFT NAME: B-747-200 (N)       
                        ENGINE NAME: JT9D(FIXED-LIP)     
                  NUMBER OF ENGINES: 4
 MEASURED FLIGHT NOISE DATA UPDATED: 14 JAN 1988
        SOURCE OF FLIGHT NOISE DATA: FAA         
 NUMBER OF POWER SETTINGS REQUESTED:  2

PROFILE ID   INTERPOLATION TYPE    POWER SETTING    SPEED (KNOTS)   POWER DESCRIPTION

FC0020100         VARIABLE        5108.90 LBS            160        LANDING             

 Distance    SEL (dB)      EPNL (EPNdB)      ALM (dBA)     PNLT (PNdB)
   (ft)     A-G    G-G      A-G    G-G      A-G    G-G      A-G    G-G
    200    103.0  103.0    107.0  106.9    101.0  101.0    117.8  117.7
    250    101.3  101.3    105.2  105.2     98.6   98.6    115.4  115.4
    315     99.5   98.7    103.3  102.2     96.2   95.4    112.9  111.9
    400     97.6   96.0    101.3   98.9     93.7   92.1    110.3  107.9
    500     95.6   93.5     99.2   96.4     91.1   89.0    107.6  104.8
    630     93.5   90.8     96.9   93.6     88.4   85.7    104.7  101.4
    800     91.3   88.1     94.4   90.7     85.7   82.4    101.6   97.9
   1000     89.1   85.1     91.7   87.6     82.8   78.9     98.3   94.2
   1250     86.7   82.1     88.8   84.2     79.8   75.2     94.8   90.2
   1600     84.3   79.2     85.6   80.6     76.9   71.7     91.0   86.0
   2000     81.9   76.3     82.4   77.1     73.8   68.3     87.2   81.9
   2500     79.5   73.6     79.3   73.4     70.8   64.9     83.5   77.6
   3150     77.1   70.9     76.6   69.8     67.8   61.7     80.2   73.5
   4000     74.7   68.5     73.5   66.1     64.8   58.6     76.5   69.1
   5000     72.2   65.8     70.4   62.2     61.7   55.3     72.8   64.6
   6300     69.6   63.0     67.1   58.1     58.5   51.9     68.9   59.9
   8000     66.8   59.9     63.7   54.0     55.1   48.2     64.9   55.2
  10000     63.9   56.4     60.0   49.8     51.6   44.2     60.7   50.5
  12500     60.7   52.1     56.4   44.5     47.9   39.3     56.4   44.5
  16000     57.3   47.4     52.6   37.4     43.9   33.9     52.0   36.9
  20000     53.7   42.3     48.0   30.5     39.6   28.3     46.8   29.3
  25000     49.8   37.1     42.7   19.9     35.1   22.5     40.9   18.1

FC0020101         VARIABLE       12081.90 LBS            160        CRUISE              

 Distance    SEL (dB)      EPNL (EPNdB)      ALM (dBA)     PNLT (PNdB)
   (ft)     A-G    G-G      A-G    G-G      A-G    G-G      A-G    G-G
    200    106.5  106.5    111.9  111.9    105.7  105.7    122.5  122.5
    250    104.8  104.8    110.1  110.1    103.3  103.3    120.1  120.1
    315    103.0  102.2    108.3  107.2    100.9  100.1    117.6  116.6
    400    101.1   99.4    106.3  103.9     98.4   96.8    115.1  112.7
    500     99.1   96.9    104.1  101.3     95.8   93.7    112.3  109.5
    630     97.0   94.3    101.9   98.6     93.1   90.4    109.5  106.2
    800     94.8   91.6     99.4   95.7     90.4   87.1    106.4  102.7
   1000     92.5   88.6     96.7   92.6     87.5   83.6    103.1   99.0
   1250     90.2   85.5     93.8   89.2     84.5   79.9     99.6   95.0
   1600     87.8   82.7     90.6   85.6     81.6   76.4     95.8   90.8
   2000     85.4   79.8     87.4   82.1     78.6   73.0     92.0   86.7
   2500     83.0   77.0     84.4   78.4     75.6   69.6     88.4   82.4
   3150     80.6   74.4     81.7   74.9     72.6   66.4     85.1   78.3
   4000     78.2   72.0     78.7   71.3     69.5   63.3     81.5   74.1
   5000     75.7   69.3     75.5   67.4     66.4   60.0     77.7   69.6
   6300     73.1   66.5     72.3   63.3     63.2   56.6     73.9   64.9
   8000     70.3   63.4     68.9   59.3     59.8   52.9     69.9   60.3
  10000     67.4   59.9     65.3   55.4     56.3   48.9     65.8   55.9
  12500     64.2   55.6     61.8   50.7     52.6   44.0     61.6   50.5
  16000     60.8   50.9     58.0   44.5     48.6   38.6     57.3   43.8
  20000     57.2   45.8     53.7   37.7     44.3   33.0     52.3   36.3
  25000     53.3   40.6     48.8   28.7     39.8   27.2     46.8   26.7
