                 FLIGHT AIRCRAFT ID: B752
               FLIGHT AIRCRAFT NAME: B-757-200-RR        
                        ENGINE NAME: RB211-535           
                  NUMBER OF ENGINES: 2
 MEASURED FLIGHT NOISE DATA UPDATED: 14 JAN 1988
        SOURCE OF FLIGHT NOISE DATA: FAA         
 NUMBER OF POWER SETTINGS REQUESTED:  2

PROFILE ID   INTERPOLATION TYPE    POWER SETTING    SPEED (KNOTS)   POWER DESCRIPTION

FC0510100         VARIABLE        5108.90 LBS            160        LANDING             

 Distance    SEL (dB)      EPNL (EPNdB)      ALM (dBA)     PNLT (PNdB)
   (ft)     A-G    G-G      A-G    G-G      A-G    G-G      A-G    G-G
    200     98.5   98.5    105.0  105.0     96.0   96.0    113.5  113.4
    250     96.8   96.8    103.3  103.2     93.7   93.7    111.1  111.0
    315     95.1   94.3    101.4  100.3     91.3   90.6    108.6  107.6
    400     93.2   91.7     99.4   97.0     88.9   87.4    106.1  103.7
    500     91.3   89.2     97.4   94.5     86.4   84.3    103.4  100.5
    630     89.3   86.6     95.1   91.7     83.8   81.1    100.5   97.2
    800     87.2   83.9     92.7   88.9     81.1   77.8     97.5   93.7
   1000     85.0   81.0     90.0   85.8     78.3   74.3     94.3   90.0
   1250     82.8   78.0     87.1   82.5     75.4   70.7     90.8   86.1
   1600     80.5   75.3     84.1   79.1     72.5   67.4     87.2   82.1
   2000     78.1   72.6     81.2   75.9     69.6   64.0     83.6   78.4
   2500     75.8   69.9     78.0   72.7     66.6   60.8     79.9   74.5
   3150     73.4   67.4     75.0   69.1     63.6   57.6     76.3   70.4
   4000     70.9   65.0     71.8   65.4     60.6   54.6     72.5   66.0
   5000     68.4   62.3     68.5   60.5     57.4   51.3     68.5   60.5
   6300     65.7   59.5     65.0   56.5     54.2   47.9     64.4   55.9
   8000     63.0   56.4     61.3   52.5     50.8   44.2     60.1   51.2
  10000     60.0   52.9     57.5   47.8     47.3   40.2     55.6   46.0
  12500     56.9   48.7     53.4   41.3     43.5   35.3     51.0   38.8
  16000     53.5   43.9     49.3   33.3     39.6   29.9     46.2   30.2
  20000     50.0   38.9     44.5   22.7     35.5   24.4     40.8   19.1
  25000     46.3   34.0     38.9   12.1     31.1   18.9     34.7    7.9

FC0510101         VARIABLE       12081.90 LBS            160        CRUISE              

 Distance    SEL (dB)      EPNL (EPNdB)      ALM (dBA)     PNLT (PNdB)
   (ft)     A-G    G-G      A-G    G-G      A-G    G-G      A-G    G-G
    200    101.4  101.4    107.7  107.7     98.9   98.9    116.1  116.1
    250     99.7   99.7    106.0  106.0     96.7   96.7    113.8  113.7
    315     97.9   97.2    104.1  103.1     94.3   93.6    111.3  110.3
    400     96.1   94.6    102.2   99.9     91.9   90.4    108.8  106.5
    500     94.2   92.1    100.1   97.4     89.4   87.3    106.1  103.4
    630     92.3   89.5     97.9   94.7     86.8   84.1    103.3  100.0
    800     90.2   86.8     95.6   91.8     84.2   80.8    100.3   96.6
   1000     88.0   84.0     93.0   88.7     81.4   77.4     97.2   92.9
   1250     85.8   81.0     90.2   85.5     78.6   73.8     93.7   89.0
   1600     83.5   78.3     87.2   82.1     75.7   70.5     90.2   85.1
   2000     81.2   75.6     84.3   79.1     72.8   67.2     86.7   81.5
   2500     78.9   73.0     81.3   75.8     69.8   64.0     83.0   77.6
   3150     76.5   70.5     78.3   72.4     66.9   60.9     79.5   73.6
   4000     74.0   68.1     75.2   68.8     63.8   57.9     75.8   69.3
   5000     71.5   65.4     72.0   64.1     60.7   54.6     71.9   64.0
   6300     68.9   62.6     68.6   60.2     57.5   51.2     67.9   59.5
   8000     66.1   59.5     64.9   56.3     54.1   47.5     63.7   55.1
  10000     63.2   56.0     61.2   51.7     50.5   43.4     59.3   49.8
  12500     60.0   51.7     57.5   46.2     46.8   38.5     55.0   43.7
  16000     56.7   46.9     53.5   38.1     42.9   33.1     50.4   35.0
  20000     53.2   42.0     49.0   29.8     38.8   27.6     45.3   26.1
  25000     49.5   37.1     43.8   18.1     34.5   22.1     39.5   13.8
