                 FLIGHT AIRCRAFT ID: B763
               FLIGHT AIRCRAFT NAME: B-767-300*          
                        ENGINE NAME: PW4060              
                  NUMBER OF ENGINES: 3
 MEASURED FLIGHT NOISE DATA UPDATED: 14 JAN 1988
        SOURCE OF FLIGHT NOISE DATA: FAA         
 NUMBER OF POWER SETTINGS REQUESTED:  2

PROFILE ID   INTERPOLATION TYPE    POWER SETTING    SPEED (KNOTS)   POWER DESCRIPTION

FC0870100         VARIABLE        5108.90 LBS            160        APPROACH POWER      

 Distance    SEL (dB)      EPNL (EPNdB)      ALM (dBA)     PNLT (PNdB)
   (ft)     A-G    G-G      A-G    G-G      A-G    G-G      A-G    G-G
    200     97.6   95.3    103.6  101.3     -1.0   -1.0     -1.0   -1.0
    250     96.6   93.7    102.4   99.5     -1.0   -1.0     -1.0   -1.0
    315     95.2   91.7    100.8   97.3     -1.0   -1.0     -1.0   -1.0
    400     93.5   89.2     98.7   94.5     -1.0   -1.0     -1.0   -1.0
    500     92.1   87.0     97.1   92.0     -1.0   -1.0     -1.0   -1.0
    630     90.4   84.2     95.1   88.9     -1.0   -1.0     -1.0   -1.0
    800     88.9   81.6     93.2   85.9     -1.0   -1.0     -1.0   -1.0
   1000     87.0   78.4     90.9   82.3     -1.0   -1.0     -1.0   -1.0
   1250     85.4   75.6     89.0   79.1     -1.0   -1.0     -1.0   -1.0
   1600     83.5   72.4     86.6   75.5     -1.0   -1.0     -1.0   -1.0
   2000     81.0   68.7     83.5   71.3     -1.0   -1.0     -1.0   -1.0
   2500     79.3   66.1     81.5   68.2     -1.0   -1.0     -1.0   -1.0
   3150     77.2   63.4     78.9   65.1     -1.0   -1.0     -1.0   -1.0
   4000     74.5   60.7     75.6   61.8     -1.0   -1.0     -1.0   -1.0
   5000     72.4   58.6     73.3   59.5     -1.0   -1.0     -1.0   -1.0
   6300     69.8   55.9     70.4   56.5     -1.0   -1.0     -1.0   -1.0
   8000     67.7   53.9     68.0   54.1     -1.0   -1.0     -1.0   -1.0
  10000     65.1   51.3     65.0   51.1     -1.0   -1.0     -1.0   -1.0
  12500     62.9   49.0     62.6   48.7     -1.0   -1.0     -1.0   -1.0
  16000     60.0   46.1     59.4   45.6     -1.0   -1.0     -1.0   -1.0
  20000     57.8   43.9     57.1   43.3     -1.0   -1.0     -1.0   -1.0
  25000     55.0   41.1     54.2   40.3     -1.0   -1.0     -1.0   -1.0

FC0870101         VARIABLE       12081.90 LBS            160        CRUISE POWER        

 Distance    SEL (dB)      EPNL (EPNdB)      ALM (dBA)     PNLT (PNdB)
   (ft)     A-G    G-G      A-G    G-G      A-G    G-G      A-G    G-G
    200     99.3   97.0    106.5  104.2     -1.0   -1.0     -1.0   -1.0
    250     98.2   95.4    105.2  102.4     -1.0   -1.0     -1.0   -1.0
    315     96.8   93.3    103.6  100.1     -1.0   -1.0     -1.0   -1.0
    400     95.0   90.7    101.5   97.2     -1.0   -1.0     -1.0   -1.0
    500     93.6   88.5     99.8   94.7     -1.0   -1.0     -1.0   -1.0
    630     91.9   85.7     97.7   91.5     -1.0   -1.0     -1.0   -1.0
    800     90.4   83.1     95.9   88.5     -1.0   -1.0     -1.0   -1.0
   1000     88.5   80.0     93.5   85.0     -1.0   -1.0     -1.0   -1.0
   1250     87.0   77.1     91.5   81.7     -1.0   -1.0     -1.0   -1.0
   1600     85.0   73.9     89.0   77.9     -1.0   -1.0     -1.0   -1.0
   2000     82.5   70.3     85.7   73.5     -1.0   -1.0     -1.0   -1.0
   2500     80.9   67.7     83.8   70.5     -1.0   -1.0     -1.0   -1.0
   3150     78.9   65.0     81.3   67.4     -1.0   -1.0     -1.0   -1.0
   4000     76.2   62.4     78.1   64.3     -1.0   -1.0     -1.0   -1.0
   5000     74.2   60.4     75.9   62.0     -1.0   -1.0     -1.0   -1.0
   6300     71.7   57.9     73.0   59.2     -1.0   -1.0     -1.0   -1.0
   8000     69.7   55.9     70.8   56.9     -1.0   -1.0     -1.0   -1.0
  10000     67.2   53.4     67.9   54.1     -1.0   -1.0     -1.0   -1.0
  12500     65.1   51.2     65.6   51.8     -1.0   -1.0     -1.0   -1.0
  16000     62.3   48.5     62.6   48.8     -1.0   -1.0     -1.0   -1.0
  20000     60.3   46.4     60.4   46.6     -1.0   -1.0     -1.0   -1.0
  25000     57.6   43.8     57.6   43.8     -1.0   -1.0     -1.0   -1.0
